datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-09 07:30:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°04'30.88""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°04'00.01""",Punarvasu,Jupiter,2,7th House,7,180,180.9914,0.9914,Standard
2026-01-09 07:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°04'00.01""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°04'30.88""",Purva Ashadha,Venus,4,7th House,7,180,179.0086,0.9914,Weak
2026-01-09 07:45:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°05'18.05""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'54.95""",Punarvasu,Jupiter,2,7th House,7,180,180.9769,0.9769,Standard
2026-01-09 07:45:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°03'54.95""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°05'18.05""",Purva Ashadha,Venus,4,7th House,7,180,179.0231,0.9769,Weak
2026-01-09 08:00:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°06'05.22""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'49.89""",Punarvasu,Jupiter,2,7th House,7,180,180.9624,0.9624,Standard
2026-01-09 08:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°03'49.89""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°06'05.22""",Purva Ashadha,Venus,4,7th House,7,180,179.0376,0.9624,Weak
2026-01-09 08:15:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°06'52.39""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'44.83""",Punarvasu,Jupiter,2,7th House,7,180,180.9479,0.9479,Standard
2026-01-09 08:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°03'44.83""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°06'52.39""",Purva Ashadha,Venus,4,7th House,7,180,179.0521,0.9479,Weak
2026-01-09 08:30:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°07'39.56""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'39.77""",Punarvasu,Jupiter,2,7th House,7,180,180.9334,0.9334,Standard
2026-01-09 08:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°03'39.77""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°07'39.56""",Purva Ashadha,Venus,4,7th House,7,180,179.0666,0.9334,Weak
2026-01-09 08:45:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°08'26.73""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'34.71""",Punarvasu,Jupiter,2,7th House,7,180,180.9189,0.9189,Standard
2026-01-09 08:45:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°03'34.71""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°08'26.73""",Purva Ashadha,Venus,4,7th House,7,180,179.0811,0.9189,Weak
2026-01-09 09:00:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°09'13.90""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'29.65""",Punarvasu,Jupiter,2,7th House,7,180,180.9044,0.9044,Standard
2026-01-09 09:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"26°03'29.65""",Punarvasu,Jupiter,2,Venus,Sagittarius,Nhân Mã,"25°09'13.90""",Purva Ashadha,Venus,4,7th House,7,180,179.0956,0.9044,Weak
2026-01-09 09:15:00,Parashara_Drishti,Venus,Sagittarius,Nhân Mã,"25°10'01.07""",Purva Ashadha,Venus,4,Jupiter,Gemini,Song Tử,"26°03'24.59""",Punarvasu,Jupiter,2,7th House,7,180,180.8899,0.8899,Standard
