datetime,event,planet,from_sign,to_sign,degree,longitude
2025-09-01 21:30:00,Ingress,Moon,Scorpio,Sagittarius,"0°02'23""",240.039765
2025-09-04 07:00:00,Ingress,Moon,Sagittarius,Capricorn,"0°04'38""",270.077282
2025-09-06 13:00:00,Ingress,Moon,Capricorn,Aquarius,"0°04'50""",300.080557
2025-09-08 16:00:00,Ingress,Moon,Aquarius,Pisces,"0°00'23""",330.006653
2025-09-10 17:45:00,Ingress,Moon,Pisces,Aries,"0°07'04""",0.117801
2025-09-12 19:15:00,Ingress,Moon,Aries,Taurus,"0°08'37""",30.143833
2025-09-13 23:00:00,Ingress,Mars,Virgo,Libra,"0°00'11""",180.003137
2025-09-14 21:45:00,Ingress,Moon,Taurus,Gemini,"0°06'37""",60.110314
2025-09-15 02:00:00,Ingress,Venus,Cancer,Leo,"0°00'38""",120.010611
2025-09-15 12:45:00,Ingress,Mercury,Leo,Virgo,"0°00'36""",150.010045
2025-09-17 02:00:00,Ingress,Moon,Gemini,Cancer,"0°00'42""",90.011808
2025-09-17 03:30:00,Ingress,Sun,Leo,Virgo,"0°00'30""",150.008387
2025-09-19 08:45:00,Ingress,Moon,Cancer,Leo,"0°04'55""",120.08202
2025-09-21 17:30:00,Ingress,Moon,Leo,Virgo,"0°01'00""",150.016814
2025-09-24 04:30:00,Ingress,Moon,Virgo,Libra,"0°01'54""",180.031775
2025-09-26 17:00:00,Ingress,Moon,Libra,Scorpio,"0°03'00""",210.050166
2025-09-29 05:30:00,Ingress,Moon,Scorpio,Sagittarius,"0°02'30""",240.041939
