datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-03 16:15:00,Parashara_Drishti,Moon,Gemini,"18°18'56.00""",Venus,Sagittarius,"17°59'09.23""",7th House,7,180,179.6703,0.3297,Standard
2026-01-03 16:15:00,Parashara_Drishti,Venus,Sagittarius,"17°59'09.23""",Moon,Gemini,"18°18'56.00""",7th House,7,180,180.3297,0.3297,Standard
2026-01-03 16:15:00,Parashara_Drishti,Rahu,Aquarius,"17°49'21.00""",Moon,Gemini,"18°18'56.00""",9th House (Reverse),9,-240,120.4931,0.4931,Strong
2026-01-03 16:30:00,Parashara_Drishti,Sun,Sagittarius,"18°47'15.20""",Moon,Gemini,"18°28'14.33""",7th House,7,180,179.6831,0.3169,Standard
2026-01-03 16:30:00,Parashara_Drishti,Moon,Gemini,"18°28'14.33""",Sun,Sagittarius,"18°47'15.20""",7th House,7,180,180.3169,0.3169,Standard
2026-01-03 16:30:00,Parashara_Drishti,Moon,Gemini,"18°28'14.33""",Venus,Sagittarius,"17°59'56.41""",7th House,7,180,179.5284,0.4716,Standard
2026-01-03 16:30:00,Parashara_Drishti,Venus,Sagittarius,"17°59'56.41""",Moon,Gemini,"18°28'14.33""",7th House,7,180,180.4716,0.4716,Standard
2026-01-03 16:30:00,Parashara_Drishti,Rahu,Aquarius,"17°49'19.01""",Moon,Gemini,"18°28'14.33""",9th House (Reverse),9,-240,120.64869999999999,0.6487,Strong
2026-01-03 16:45:00,Parashara_Drishti,Sun,Sagittarius,"18°47'53.41""",Moon,Gemini,"18°37'32.58""",7th House,7,180,179.8275,0.1725,Standard
2026-01-03 16:45:00,Parashara_Drishti,Moon,Gemini,"18°37'32.58""",Sun,Sagittarius,"18°47'53.41""",7th House,7,180,180.1725,0.1725,Standard
2026-01-03 16:45:00,Parashara_Drishti,Moon,Gemini,"18°37'32.58""",Venus,Sagittarius,"18°00'43.59""",7th House,7,180,179.3864,0.6136,Standard
2026-01-03 16:45:00,Parashara_Drishti,Venus,Sagittarius,"18°00'43.59""",Moon,Gemini,"18°37'32.58""",7th House,7,180,180.6136,0.6136,Standard
2026-01-03 16:45:00,Parashara_Drishti,Rahu,Aquarius,"17°49'17.02""",Moon,Gemini,"18°37'32.58""",9th House (Reverse),9,-240,120.80430000000001,0.8043,Strong
2026-01-03 17:00:00,Parashara_Drishti,Sun,Sagittarius,"18°48'31.61""",Moon,Gemini,"18°46'50.73""",7th House,7,180,179.972,0.028,Standard
2026-01-03 17:00:00,Parashara_Drishti,Moon,Gemini,"18°46'50.73""",Sun,Sagittarius,"18°48'31.61""",7th House,7,180,180.028,0.028,Standard
2026-01-03 17:00:00,Parashara_Drishti,Moon,Gemini,"18°46'50.73""",Venus,Sagittarius,"18°01'30.76""",7th House,7,180,179.2445,0.7555,Standard
2026-01-03 17:00:00,Parashara_Drishti,Venus,Sagittarius,"18°01'30.76""",Moon,Gemini,"18°46'50.73""",7th House,7,180,180.7555,0.7555,Standard
2026-01-03 17:00:00,Parashara_Drishti,Rahu,Aquarius,"17°49'15.03""",Moon,Gemini,"18°46'50.73""",9th House (Reverse),9,-240,120.9599,0.9599,Strong
2026-01-03 17:15:00,Parashara_Drishti,Sun,Sagittarius,"18°49'09.81""",Moon,Gemini,"18°56'08.79""",7th House,7,180,180.1164,0.1164,Standard
2026-01-03 17:15:00,Parashara_Drishti,Moon,Gemini,"18°56'08.79""",Sun,Sagittarius,"18°49'09.81""",7th House,7,180,179.8836,0.1164,Standard
2026-01-03 17:15:00,Parashara_Drishti,Moon,Gemini,"18°56'08.79""",Venus,Sagittarius,"18°02'17.94""",7th House,7,180,179.1025,0.8975,Standard
2026-01-03 17:15:00,Parashara_Drishti,Venus,Sagittarius,"18°02'17.94""",Moon,Gemini,"18°56'08.79""",7th House,7,180,180.8975,0.8975,Standard
2026-01-03 17:30:00,Parashara_Drishti,Sun,Sagittarius,"18°49'48.02""",Moon,Gemini,"19°05'26.75""",7th House,7,180,180.2608,0.2608,Standard
2026-01-03 17:30:00,Parashara_Drishti,Moon,Gemini,"19°05'26.75""",Sun,Sagittarius,"18°49'48.02""",7th House,7,180,179.7392,0.2608,Standard
2026-01-03 17:45:00,Parashara_Drishti,Sun,Sagittarius,"18°50'26.22""",Moon,Gemini,"19°14'44.62""",7th House,7,180,180.4051,0.4051,Standard
2026-01-03 17:45:00,Parashara_Drishti,Moon,Gemini,"19°14'44.62""",Sun,Sagittarius,"18°50'26.22""",7th House,7,180,179.5949,0.4051,Standard
2026-01-03 18:00:00,Parashara_Drishti,Sun,Sagittarius,"18°51'04.42""",Moon,Gemini,"19°24'02.39""",7th House,7,180,180.5494,0.5494,Standard
2026-01-03 18:00:00,Parashara_Drishti,Moon,Gemini,"19°24'02.39""",Sun,Sagittarius,"18°51'04.42""",7th House,7,180,179.4506,0.5494,Standard
2026-01-03 18:00:00,Parashara_Drishti,Moon,Gemini,"19°24'02.39""",Mars,Sagittarius,"20°21'07.52""",7th House,7,180,180.9514,0.9514,Standard
