datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-23 00:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"24°15'04.47""",Punarvasu,Jupiter,2,Moon,Aquarius,Bảo Bình,"24°25'43.57""",Purva Bhadrapada,Jupiter,2,9th House,9,240,240.1775,0.1775,Strong
2026-01-23 00:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"24°14'59.70""",Punarvasu,Jupiter,2,Moon,Aquarius,Bảo Bình,"24°34'00.22""",Purva Bhadrapada,Jupiter,2,9th House,9,240,240.3168,0.3168,Strong
2026-01-23 00:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"24°14'54.93""",Punarvasu,Jupiter,2,Moon,Aquarius,Bảo Bình,"24°42'16.95""",Purva Bhadrapada,Jupiter,2,9th House,9,240,240.4561,0.4561,Strong
2026-01-23 00:45:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"24°14'50.17""",Punarvasu,Jupiter,2,Moon,Aquarius,Bảo Bình,"24°50'33.76""",Purva Bhadrapada,Jupiter,2,9th House,9,240,240.5954,0.5954,Strong
2026-01-23 01:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"24°14'45.40""",Punarvasu,Jupiter,2,Moon,Aquarius,Bảo Bình,"24°58'50.65""",Purva Bhadrapada,Jupiter,2,9th House,9,240,240.7348,0.7348,Strong
2026-01-23 01:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"24°14'40.64""",Punarvasu,Jupiter,2,Moon,Aquarius,Bảo Bình,"25°07'07.62""",Purva Bhadrapada,Jupiter,2,9th House,9,240,240.8742,0.8742,Strong
