datetime,event,aspecting_planet,aspecting_sign,aspecting_sign_vi,aspecting_degree,aspecting_nakshatra,aspecting_nakshatra_lord,aspecting_pada,aspected_planet,aspected_sign,aspected_sign_vi,aspected_degree,aspected_nakshatra,aspected_nakshatra_lord,aspected_pada,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-31 00:00:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'28.57""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"16°59'38.44""",Ardra,Rahu,4,9th House (Reverse),9,-240,120.61940000000001,0.6194,Strong
2026-01-31 00:15:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'26.58""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"17°08'44.21""",Ardra,Rahu,4,9th House (Reverse),9,-240,120.7716,0.7716,Strong
2026-01-31 00:30:00,Parashara_Drishti,Rahu,Aquarius,Bảo Bình,"16°22'24.60""",Shatabhisha,Rahu,3,Moon,Gemini,Song Tử,"17°17'49.96""",Ardra,Rahu,4,9th House (Reverse),9,-240,120.9237,0.9237,Strong
2026-01-31 08:45:00,Parashara_Drishti,Moon,Gemini,Song Tử,"22°17'38.73""",Punarvasu,Jupiter,1,Jupiter,Gemini,Song Tử,"23°14'28.89""",Punarvasu,Jupiter,1,0th House,0,0,0.9473,0.9473,Standard
2026-01-31 08:45:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"23°14'28.89""",Punarvasu,Jupiter,1,Moon,Gemini,Song Tử,"22°17'38.73""",Punarvasu,Jupiter,1,0th House,0,0,359.0527,0.9473,Standard
2026-01-31 09:00:00,Parashara_Drishti,Moon,Gemini,Song Tử,"22°26'43.13""",Punarvasu,Jupiter,1,Jupiter,Gemini,Song Tử,"23°14'24.64""",Punarvasu,Jupiter,1,0th House,0,0,0.7949,0.7949,Standard
2026-01-31 09:00:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"23°14'24.64""",Punarvasu,Jupiter,1,Moon,Gemini,Song Tử,"22°26'43.13""",Punarvasu,Jupiter,1,0th House,0,0,359.2051,0.7949,Standard
2026-01-31 09:15:00,Parashara_Drishti,Moon,Gemini,Song Tử,"22°35'47.48""",Punarvasu,Jupiter,1,Jupiter,Gemini,Song Tử,"23°14'20.39""",Punarvasu,Jupiter,1,0th House,0,0,0.6425,0.6425,Standard
2026-01-31 09:15:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"23°14'20.39""",Punarvasu,Jupiter,1,Moon,Gemini,Song Tử,"22°35'47.48""",Punarvasu,Jupiter,1,0th House,0,0,359.3575,0.6425,Standard
2026-01-31 09:30:00,Parashara_Drishti,Moon,Gemini,Song Tử,"22°44'51.77""",Punarvasu,Jupiter,1,Jupiter,Gemini,Song Tử,"23°14'16.14""",Punarvasu,Jupiter,1,0th House,0,0,0.4901,0.4901,Standard
2026-01-31 09:30:00,Parashara_Drishti,Jupiter,Gemini,Song Tử,"23°14'16.14""",Punarvasu,Jupiter,1,Moon,Gemini,Song Tử,"22°44'51.77""",Punarvasu,Jupiter,1,0th House,0,0,359.5099,0.4901,Standard
